name,age,height_cm,weight_kg,overall,value_eur,preferred_foot,team_position,shooting,passing,defending,attacking_crossing,attacking_finishing,attacking_heading_accuracy,skill_dribbling,skill_curve,skill_fk_accuracy,skill_ball_control,movement_sprint_speed,movement_reactions,power_jumping,power_stamina,power_strength
M. Koj,26,188,81,62,300000,Right,CB,40,53,62,58,33,64,54,57,30,55,49,61,72,67,82
F. Frans,31,193,80,66,475000,Right,CB,40,50,67,38,35,67,36,28,27,57,34,62,34,70,86
T. Thomas,24,183,71,64,550000,Right,CB,40,57,64,56,34,65,56,40,37,60,60,59,72,72,73
L. Samson,24,190,81,67,950000,Right,CB,40,56,67,44,39,62,64,32,37,62,65,62,45,65,78
Errasti,32,181,81,68,575000,Right,CDM,40,60,66,51,30,44,43,60,61,63,59,64,64,71,79
V. Lekhal,26,187,72,68,1000000,Left,CM,40,60,65,46,30,62,50,45,35,65,71,63,90,72,75
O. Ilyas,24,180,78,58,150000,Left,LB,40,48,55,53,31,58,48,58,57,50,63,52,68,65,76
B. Rivera,23,179,72,58,180000,Left,LB,40,53,53,59,39,48,48,39,41,50,67,52,51,70,63
J. Céspedes,36,170,72,69,190000,Left,LB,40,56,66,63,33,57,50,39,46,59,83,68,65,67,53
S. Griffin,25,178,74,61,275000,Left,LB,40,59,56,61,32,52,61,63,58,58,73,53,65,69,57
J. Yegüez,32,176,70,65,325000,Left,LB,40,55,61,61,37,59,47,38,37,65,70,66,51,72,60
L. Malicsek,21,182,71,62,400000,Right,LB,40,50,61,41,31,57,48,33,37,58,68,62,65,67,64
J. van den Bergh,33,183,75,69,475000,Left,LB,40,62,67,69,32,55,61,54,45,64,69,65,72,66,68
J. Hardeveld,25,184,76,64,500000,Left,LB,40,58,64,60,31,61,64,64,56,61,55,62,67,55,70
C. Antwi,20,169,68,62,525000,Left,LB,40,53,55,55,38,55,57,47,33,61,84,55,84,64,58
A. Terzić,20,184,70,62,525000,Left,LB,40,47,62,55,35,55,58,42,43,55,67,58,59,61,54
G. Bello,18,170,68,62,575000,Left,LB,40,49,57,53,39,41,64,52,27,62,80,57,59,63,41
G. Cortéz,22,178,75,66,750000,Left,LB,40,54,63,64,35,61,47,59,34,61,66,61,84,76,65
M. Huard,22,177,71,68,1200000,Left,LB,40,57,66,63,32,60,62,55,36,62,70,64,66,73,69
M. Udol,24,178,68,69,1300000,Left,LB,40,59,67,64,40,68,66,47,48,67,70,65,65,64,67
L. Carole,29,182,78,72,2600000,Left,LB,40,64,72,71,28,72,75,52,34,71,74,66,80,66,76
M. Dijks,27,194,90,72,3100000,Left,LB,40,65,71,72,30,68,68,64,42,68,73,73,32,65,88
Douglas Carvalheira,32,174,74,74,3500000,Left,LB,40,61,69,71,32,59,73,62,31,69,90,70,80,79,65
R. Henry,22,170,66,73,5000000,Left,LB,40,59,67,66,40,37,69,48,39,71,90,66,92,80,61
N. Topor-Stanley,35,191,90,64,140000,Left,LCB,40,53,60,54,31,64,45,26,20,48,48,56,82,83,92
L. Gutiérrez,35,180,74,65,160000,Left,LCB,40,49,66,40,39,60,47,39,38,72,52,66,41,58,77
E. Rodríguez,29,186,82,62,250000,Right,LCB,40,54,58,45,32,40,44,43,42,52,62,62,51,67,74
F. Pérez,34,180,75,67,275000,Left,LCB,40,51,65,42,33,68,50,31,30,61,65,54,73,82,80
C. Kum,34,182,82,67,275000,Right,LCB,40,56,66,65,30,66,58,34,32,56,53,61,73,66,72
T. Raemaekers,19,194,85,59,300000,Right,LCB,40,46,56,33,39,67,51,59,68,58,67,44,65,51,78
E. Fryers,27,183,80,64,400000,Left,LCB,40,58,63,62,35,60,63,62,61,63,73,63,73,68,74
S. Velkov,23,192,86,62,450000,Right,LCB,40,46,62,39,32,60,47,34,40,56,66,61,67,67,72
M. Jurman,30,191,87,65,450000,Left,LCB,40,53,65,55,41,64,48,30,29,47,34,54,69,73,83
Ricardo Alves,29,181,78,66,550000,Right,LCB,40,49,65,43,36,63,47,38,36,54,66,61,91,62,74
E. Monthe,25,193,82,65,625000,Left,LCB,40,47,64,40,33,60,47,38,30,55,61,58,70,74,90
Álex Martín,22,182,78,64,750000,Right,LCB,40,50,64,45,31,65,22,35,48,62,53,60,70,60,67
E. Martínez,22,183,81,65,750000,Left,LCB,40,47,65,39,38,65,45,39,35,59,66,62,65,68,75
E. Mathoho,30,190,76,69,850000,Right,LCB,40,45,70,34,42,80,46,25,22,64,66,61,67,76,77
S. Romagnoli,30,193,85,71,1900000,Right,LCB,40,45,73,33,39,75,52,38,27,52,57,67,72,71,87
B. Nuytinck,30,190,82,72,2500000,Left,LCB,40,48,76,30,32,70,50,46,34,58,34,68,60,51,75
Germán,33,187,82,77,4200000,Right,LCB,40,59,78,42,40,79,51,28,35,70,57,64,68,77,81
I. Lichnovsky,26,186,72,73,4700000,Right,LCB,40,51,75,38,35,72,55,44,27,65,59,57,83,71,73
Davi Parrela,20,191,88,75,6500000,Right,LCB,40,54,76,55,31,75,49,38,39,54,67,67,57,52,89
A. Long,27,185,86,75,7000000,Right,LCB,40,57,74,38,39,79,60,36,34,65,77,70,88,82,80
J. Murillo,28,182,78,77,9000000,Right,LCB,40,59,76,56,37,75,58,38,26,63,75,73,88,70,78
D. Ćaleta-Car,23,192,89,78,12000000,Right,LCB,40,60,78,28,32,80,59,28,31,69,63,76,80,77,84
A. Romagnoli,25,188,78,83,30000000,Left,LCB,40,56,85,36,30,78,68,36,24,76,72,80,79,71,79
A. Mejía,31,178,79,70,1300000,Right,LCM,40,59,65,49,33,31,48,36,32,59,57,69,60,87,90
Ma Xingyu,30,181,77,59,140000,Right,LM,40,52,61,38,34,47,55,33,38,58,54,62,61,73,67
T. Englund,31,174,65,61,180000,Left,LWB,40,52,60,49,32,56,49,59,30,50,70,64,58,77,57
Li Shuai,25,180,75,67,900000,Right,LWB,40,58,61,57,37,49,63,49,48,63,76,60,70,78,71
Nuno Mendes,18,176,70,70,3400000,Left,LWB,40,59,65,65,37,57,64,40,41,68,86,66,65,73,48
G. Carmona,34,187,94,65,190000,Right,RB,40,51,65,58,36,60,53,37,39,54,60,59,62,74,79
K. Mellor,29,187,75,63,300000,Right,RB,40,54,59,59,39,58,57,47,37,58,67,58,71,80,72
S. Juma,21,173,72,64,600000,Right,RB,40,51,60,54,35,55,52,49,32,56,77,56,88,72,73
Jorge Silva,24,183,75,65,650000,Right,RB,40,59,60,64,35,43,66,67,49,65,69,63,57,64,62
David Bruno,28,175,64,67,650000,Right,RB,40,57,64,66,36,52,63,57,54,65,66,62,52,73,68
O. Traoré,22,187,77,65,700000,Right,RB,40,59,58,64,36,50,65,63,28,63,86,48,61,70,67
T. Ebuehi,24,187,72,66,750000,Right,RB,40,52,63,58,37,54,64,41,33,63,89,63,84,34,66
J. Arboleda,30,182,70,69,825000,Right,RB,40,62,64,71,30,52,63,43,36,68,80,61,76,62,76
A. Sampsted,22,180,72,66,900000,Right,RB,40,55,61,59,38,54,58,54,37,59,78,60,78,75,66
D. Schad,23,176,70,67,900000,Right,RB,40,56,59,62,39,43,59,57,33,62,82,60,73,86,56
M. Konczkowski,26,181,78,68,950000,Right,RB,40,67,61,72,40,58,65,71,40,67,81,64,77,86,68
J. Espinoza,21,175,70,67,1000000,Right,RB,40,56,65,56,33,58,57,45,47,62,73,60,77,66,64
W. Harding,23,181,79,67,1000000,Right,RB,40,53,63,58,33,63,59,29,41,64,78,63,76,75,79
D. Haruț,21,180,80,67,1100000,Right,RB,40,55,62,64,35,52,52,55,49,57,80,60,72,83,72
J. Mellot,26,178,77,69,1100000,Right,RB,40,56,66,58,39,64,65,57,38,63,76,62,58,85,68
G. Kalulu,22,176,74,69,1400000,Right,RB,40,55,67,59,35,62,63,46,38,62,80,61,85,70,75
S. Yago,27,180,77,70,1600000,Right,RB,40,61,67,67,34,65,68,48,41,68,66,70,81,78,76
D. Appiah,28,179,68,72,2700000,Right,RB,40,59,70,63,33,62,59,60,44,64,76,65,81,90,67
A. Méndez,24,176,82,71,2900000,Right,RB,40,57,66,66,48,44,56,31,29,62,77,65,77,86,95
S. Sabelli,27,176,70,72,3100000,Right,RB,40,59,68,62,35,61,60,58,50,61,79,70,65,86,70
J. Ávila,28,189,88,64,450000,Right,RCB,40,50,64,36,27,76,32,37,23,57,30,59,30,50,92
K. Kraus,27,190,91,65,500000,Right,RCB,40,44,64,32,30,67,31,30,29,51,54,65,50,59,90
M. Akça,29,182,75,66,550000,Right,RCB,40,53,65,54,37,68,45,36,33,60,64,65,74,61,75
J. Schunke,33,193,86,70,850000,Right,RCB,40,53,71,35,28,79,39,46,55,62,31,73,31,60,88
A. Kilgour,22,189,75,65,875000,Right,RCB,40,43,64,29,28,62,48,36,24,56,64,56,72,70,80
A. Struna,29,188,84,69,875000,Right,RCB,40,58,67,59,24,72,61,52,47,60,67,61,78,85,92
Dankler,28,186,81,69,1000000,Right,RCB,40,49,68,38,38,68,48,34,30,57,61,62,75,70,85
J. Kerr,23,183,75,68,1300000,Right,RCB,40,53,66,38,32,68,54,41,42,61,68,60,90,66,78
S. Dann,33,188,78,73,1900000,Right,RCB,40,48,76,30,40,79,38,30,29,59,32,75,66,34,76
N. Breitenbruch,24,178,76,70,2100000,Right,RCB,40,58,67,66,35,72,62,49,33,66,73,62,84,86,78
S. Babić,24,195,86,70,2500000,Left,RCB,40,44,71,23,35,71,46,41,40,62,59,68,67,58,87
D. Iorfa,25,193,78,71,2700000,Right,RCB,40,58,70,63,45,66,60,37,24,63,87,67,43,69,84
Rafael Cachoira,20,188,84,75,6500000,Right,RCB,40,58,77,56,30,73,58,62,49,62,59,67,54,62,83
D. Vida,31,184,76,78,7500000,Right,RCB,40,58,81,65,41,79,53,44,35,64,77,74,79,77,78
D. Upamecano,21,186,90,79,20000000,Right,RCB,40,61,79,48,39,81,68,32,28,65,84,70,88,61,90
D. Moreno,28,181,77,68,800000,Right,RCM,40,57,65,47,30,61,57,39,35,64,70,67,34,94,79
D. Lemos,31,178,82,69,800000,Right,RCM,40,59,69,56,37,69,60,60,53,60,68,71,78,90,75
O. Gnjatić,28,190,81,65,475000,Right,RDM,40,55,60,45,32,56,55,44,35,63,65,58,59,75,82
A. Syhre,25,187,83,64,525000,Right,RDM,40,30,64,23,49,62,24,31,26,38,64,59,82,60,82
Cao Dong,22,183,70,50,50000,Right,RES,40,51,46,46,36,39,58,48,41,54,62,48,41,48,50
L. Loughlan,18,175,60,48,60000,Right,RES,40,46,38,35,38,35,47,41,32,51,70,46,73,68,52
N. Iseguan,17,185,68,49,60000,Left,RES,40,46,34,38,40,38,51,38,35,50,65,48,63,51,47
J. Starbuck,17,172,68,50,60000,Right,RES,40,49,46,43,40,39,50,46,37,52,66,53,55,56,47
A. Vogler,17,180,75,50,60000,Right,RES,40,48,42,35,37,47,47,41,32,52,55,47,66,55,54
F. Bettache,19,185,73,51,60000,Right,RES,40,48,42,34,32,47,49,37,33,48,65,56,62,59,46
A. Valencia,16,175,61,51,70000,Right,RES,40,46,44,31,39,48,49,33,37,51,59,49,61,67,34
T. Holland,18,177,63,51,80000,Right,RES,40,45,31,40,37,39,56,45,38,55,72,54,51,40,43
O. Rojas,20,179,73,51,80000,Right,RES,40,53,36,46,36,35,53,40,40,55,68,47,58,46,38
G. Nugent,18,170,80,51,80000,Right,RES,40,49,42,41,39,45,52,40,34,51,70,50,66,63,51
D. Norman Jr.,22,188,81,52,80000,Right,RES,40,51,46,43,32,40,53,49,36,54,65,53,64,53,67
C. Grant,18,178,72,52,100000,Right,RES,40,50,40,39,31,44,49,40,38,51,64,52,59,63,50
P. Antón,20,173,70,53,100000,Right,RES,40,50,50,39,39,46,49,35,31,60,61,53,57,46,46
Lee Gyu Seong,26,174,68,55,100000,Right,RES,40,56,43,47,36,37,61,44,39,61,75,56,51,56,57
L. Brunt,19,178,68,52,110000,Right,RES,40,53,44,43,30,46,47,38,42,46,69,49,55,63,48
E. Urrutia,19,178,70,52,110000,Right,RES,40,44,25,52,40,35,60,55,35,45,87,43,45,42,49
M. Wolfe,20,185,75,52,110000,Right,RES,40,50,45,34,31,46,46,34,42,52,63,47,62,64,61
J. Hickman,21,173,67,54,110000,Right,RES,40,47,48,50,38,43,49,46,30,49,68,51,58,63,56
I. Dioh,21,187,83,55,120000,Right,RES,40,50,54,29,38,42,64,51,41,65,55,38,61,57,71
L. Sanchez,19,175,76,53,130000,Right,RES,40,56,33,48,36,33,44,61,62,54,67,43,52,71,66
Liu Shangkun,28,175,70,59,130000,Right,RES,40,47,54,54,25,42,64,48,32,61,67,58,61,62,61
L. Hetemi,20,170,67,54,140000,Right,RES,40,50,49,41,39,39,60,40,35,59,67,48,58,55,43
A. Cochrane,20,175,70,54,140000,Left,RES,40,49,51,46,35,43,51,47,45,54,58,55,47,55,54
J. Berry,19,183,71,54,140000,Right,RES,40,51,43,39,37,38,60,37,34,58,61,51,60,64,42
M. Al Subaie,24,183,68,57,140000,Right,RES,40,51,49,51,38,48,56,37,38,57,72,55,62,49,58
Goh Young Jun,18,168,69,55,160000,Right,RES,40,58,31,55,38,33,56,41,40,56,61,51,57,58,34
R. Burke,19,177,73,55,160000,Left,RES,40,45,54,48,33,42,49,56,49,44,57,47,48,62,50
S. Van Dessel,18,169,60,56,180000,Right,RES,40,50,56,32,32,51,58,34,34,60,59,55,64,73,31
F. Rojas,26,188,74,59,180000,Right,RES,40,48,60,40,31,70,45,37,34,49,59,53,58,56,60
Y. Matsumara,19,173,63,56,190000,Right,RES,40,48,22,61,42,21,66,56,32,62,72,36,38,31,29
M. Kuyucu,20,185,77,59,240000,Left,RES,40,47,53,52,38,57,61,33,37,54,75,57,54,61,60
M. Shinada,20,180,66,59,275000,Right,RES,40,57,50,41,33,44,61,46,48,63,60,51,56,63,61
K. Iwatake,24,173,70,60,275000,Right,RES,40,56,53,61,43,29,60,40,41,60,64,56,53,68,66
M. Sağlam,22,175,71,61,350000,Right,RES,40,59,60,55,31,46,68,37,37,68,59,58,57,35,53
Y. Keitel,20,186,85,61,400000,Right,RES,40,60,58,49,32,56,57,41,49,60,55,54,52,53,63
V. Theocharis,21,181,68,62,400000,Right,RES,40,56,59,45,28,61,62,35,35,63,62,62,56,66,57
S. Dieckmann,24,187,76,64,500000,Right,RES,40,50,62,58,40,63,49,45,31,53,73,58,52,69,75
Fali Candé,22,184,75,64,625000,Left,RES,40,54,59,63,38,47,60,52,33,61,73,59,60,68,64
O. Özdemir,22,177,77,65,675000,Right,RES,40,53,61,55,34,46,59,58,41,62,72,60,55,71,65
P. Mendy,24,186,75,66,775000,Left,RES,40,56,60,61,36,52,59,48,36,62,74,60,63,73,71
N. De Medina,22,183,82,66,825000,Right,RES,40,58,65,63,43,66,62,31,34,67,74,62,69,56,71
N. Bakboord,21,177,74,66,900000,Right,RES,40,55,61,63,38,60,59,25,30,65,74,54,74,67,58
D. Sanderson,20,188,78,64,925000,Right,RES,40,50,62,56,39,61,56,38,32,58,77,60,68,65,68
F. Carvalho,26,188,96,68,1000000,Left,RES,40,47,64,28,22,67,50,28,28,53,75,55,92,69,94
Manu Sánchez,19,179,70,70,2800000,Left,RES,40,59,67,67,37,56,64,52,34,70,70,68,62,73,54
Miranda,20,185,79,70,2800000,Left,RES,40,60,68,70,33,64,64,56,37,70,60,68,67,67,61
M. Wagué,21,177,70,72,4100000,Right,RES,40,64,69,70,36,64,75,56,31,70,78,70,86,69,61
P. Dummett,28,183,82,75,6500000,Left,RES,40,63,76,63,41,72,65,54,52,70,65,75,77,67,70
R. Guachiré,25,180,78,61,300000,Right,RM,40,53,58,39,36,40,38,31,35,66,70,42,44,72,59
Gerard Valentín,26,177,75,68,950000,Right,RM,40,61,60,67,39,40,72,63,22,66,89,61,71,73,63
D. Diekmeier,30,188,79,75,5500000,Right,RM,40,65,70,74,26,68,67,56,53,68,83,74,68,78,74
Chen-Zeng Tailang,26,178,72,49,35000,Right,SUB,40,51,34,40,40,37,50,44,44,46,62,46,53,46,47
G. Al Enazi,21,173,64,50,45000,Right,SUB,40,52,32,41,37,37,59,42,41,51,67,54,51,47,34
A. Al Enazi,21,173,65,50,45000,Right,SUB,40,48,29,51,41,36,53,39,37,51,55,47,57,60,44
L. Munther,19,177,70,49,50000,Left,SUB,40,49,38,43,36,42,51,45,35,48,64,53,62,49,50
Zhou Baizhao,20,176,66,50,50000,Right,SUB,40,54,36,45,37,37,44,46,50,46,72,40,58,50,41
Choi Jae Young,22,181,73,50,50000,Right,SUB,40,47,44,40,35,49,50,36,35,42,62,48,60,59,49
B. Hough,17,175,65,47,60000,Right,SUB,40,48,35,38,42,40,46,40,35,48,64,51,58,43,47
J. Kvarven,18,172,65,49,60000,Right,SUB,40,46,42,33,32,48,51,33,37,49,61,53,61,54,51
C. Nieuwenhof,19,165,66,49,60000,Right,SUB,40,52,35,41,38,43,49,42,43,46,65,48,59,45,39
K. Gunnarshaug,21,180,73,49,60000,Right,SUB,40,49,43,40,32,47,46,37,40,50,53,50,62,51,59
R. Mimnaugh,18,177,64,51,80000,Right,SUB,40,48,44,39,32,48,52,38,39,54,62,50,64,57,50
M. Al Nakhli,24,172,63,53,80000,Left,SUB,40,49,23,54,41,37,53,51,43,57,74,37,44,45,32
Jin Qiang,27,185,80,55,90000,Right,SUB,40,48,52,52,33,51,43,35,41,51,68,49,56,73,70
J. Varga,18,165,62,52,100000,Right,SUB,40,45,30,39,38,36,57,46,41,56,67,52,46,41,42
M. Karlsbakk,20,180,70,52,100000,Right,SUB,40,50,44,39,35,43,55,42,36,55,67,47,61,61,53
D. Jovanović,19,178,72,52,100000,Right,SUB,40,51,43,55,39,42,58,45,34,53,67,37,43,50,50
J. Echeverría,20,174,70,54,100000,Right,SUB,40,45,26,60,39,39,50,52,39,48,72,49,53,83,26
D. Þór­halls­son,20,176,73,52,110000,Right,SUB,40,50,42,43,32,49,52,33,38,53,64,55,63,58,55
A. Grønbæk,19,185,73,52,110000,Right,SUB,40,50,40,40,35,46,56,42,46,56,64,58,57,53,47
N. Wojtuszek,18,182,79,52,110000,Right,SUB,40,48,27,47,33,37,58,42,39,51,67,37,47,51,58
M. Sadler,35,180,74,63,110000,Left,SUB,40,54,62,52,35,62,53,50,47,54,53,60,76,66,75
E. Rondón,20,176,75,54,120000,Right,SUB,40,48,49,25,35,58,50,24,24,56,59,44,69,71,57
P. Johansen,16,167,60,53,130000,Right,SUB,40,50,46,35,39,26,57,44,36,59,63,49,59,45,33
R. Alves,18,173,60,53,130000,Right,SUB,40,52,47,43,34,48,53,41,36,54,69,48,63,61,42
K. Krasniqi,19,183,65,53,130000,Right,SUB,40,53,42,44,30,48,52,38,40,52,65,54,59,55,50
G. Botos,19,172,69,53,130000,Right,SUB,40,57,38,46,35,40,50,53,42,51,66,45,56,44,45
W. Kamanzi,19,180,70,54,140000,Right,SUB,40,35,49,46,45,41,50,28,32,39,70,54,63,64,55
M. Heiland,18,181,75,54,140000,Right,SUB,40,50,48,36,29,46,53,39,38,55,66,52,58,63,56
W. Vint,18,188,78,54,140000,Right,SUB,40,54,48,44,38,47,58,46,34,57,61,52,59,47,61
B. Anunga,23,180,81,57,140000,Right,SUB,40,58,48,49,35,37,45,47,37,64,65,58,59,41,75
Y. Marchand,20,181,65,54,150000,Right,SUB,40,55,54,46,35,51,55,38,41,53,64,56,63,58,46
B. Dempsey,20,179,72,55,150000,Right,SUB,40,54,43,46,34,43,53,40,38,58,66,55,51,59,56
J. Kuzdra,22,178,71,58,150000,Right,SUB,40,51,54,52,32,52,51,37,37,53,62,54,63,60,64
R. Al Radhi,28,180,76,59,150000,Right,SUB,40,48,57,49,35,60,47,39,37,49,54,55,71,69,72
J. Ospina,19,168,62,55,170000,Left,SUB,40,50,27,56,30,32,58,38,36,54,75,42,49,49,35
A. Yoda,19,180,70,55,170000,Right,SUB,40,51,47,41,32,52,60,32,35,62,67,39,68,67,53
A. González,28,175,76,60,180000,Right,SUB,40,54,56,51,35,41,50,40,40,65,47,64,68,58,66
C. Trafford,28,192,82,60,180000,Right,SUB,40,55,54,44,32,46,52,36,42,55,61,53,64,70,82
B. Safari,35,181,79,66,180000,Left,SUB,40,64,64,66,30,50,65,63,58,66,69,68,62,59,75
A. Konté,19,175,62,56,190000,Right,SUB,40,49,27,56,34,30,65,47,34,53,82,37,39,50,38
K. Stratznig,18,180,70,57,200000,Right,SUB,40,54,50,43,33,46,52,38,36,57,68,51,60,73,61
M. Al Mutlaq,22,165,66,58,200000,Right,SUB,40,53,53,54,41,48,55,49,41,57,72,54,45,60,61
A. Al Khaibari,30,181,77,61,200000,Left,SUB,40,38,59,29,25,62,27,64,66,52,56,56,85,69,78
Carlos David,34,184,80,65,200000,Right,SUB,40,47,64,27,41,66,46,27,25,49,58,59,71,69,79
C. Bombo,21,183,67,57,210000,Right,SUB,40,55,55,47,34,56,58,45,43,53,67,51,56,51,58
K. Kubica,20,192,82,58,210000,Right,SUB,40,48,56,36,38,45,47,38,32,53,64,58,64,70,72
M. Napa,21,168,65,57,230000,Right,SUB,40,50,34,48,34,37,60,38,38,55,84,48,34,54,44
E. Dabo,24,181,71,60,275000,Right,SUB,40,56,57,46,39,59,53,43,42,57,65,60,64,67,68
L. Miller,19,187,83,60,275000,Right,SUB,40,52,54,58,41,56,60,35,29,54,65,52,74,75,71
T. Kraulich,21,191,83,60,275000,Left,SUB,40,50,58,42,33,59,49,40,42,48,54,57,68,61,76
C. Seedorf,25,181,80,61,275000,Right,SUB,40,47,58,61,41,57,68,43,39,54,64,64,61,58,51
D. Sesay,21,184,75,60,325000,Right,SUB,40,48,56,55,31,43,60,48,35,58,80,48,66,62,65
B. Kantarovski,28,183,74,63,325000,Right,SUB,40,54,60,39,40,48,59,41,38,61,70,55,72,70,78
J. Rodríguez,21,177,59,61,350000,Left,SUB,40,47,55,60,38,48,47,34,31,41,84,51,63,80,34
J. Riley,23,183,71,62,350000,Right,SUB,40,56,59,60,31,55,59,55,58,58,72,57,64,60,61
Z. Diallo,33,194,91,67,350000,Right,SUB,40,56,66,48,35,67,54,55,45,59,36,63,48,61,91
D. Kulikov,22,178,66,60,375000,Right,SUB,40,60,57,54,33,57,57,39,43,60,62,59,64,58,42
L. Schneider,20,184,77,61,375000,Right,SUB,40,55,60,43,34,48,59,55,38,62,75,58,70,64,66
M. Guthörl,21,180,79,61,375000,Right,SUB,40,48,57,53,39,48,56,49,35,50,74,53,72,68,68
N. Bazzana,24,181,77,62,375000,Right,SUB,40,47,61,39,36,63,41,33,32,58,33,62,74,60,72
S. Mustivar,30,178,77,64,375000,Right,SUB,40,57,64,54,29,61,65,65,34,64,54,65,80,61,64
J. Al-Hazaimeh,28,194,78,64,375000,Left,SUB,40,49,62,58,26,67,59,38,50,60,71,60,33,70,78
O. Lund,29,188,86,64,375000,Right,SUB,40,57,61,60,41,62,60,48,37,61,67,60,81,75,75
B. Kavanagh,19,172,63,60,400000,Left,SUB,40,61,35,55,38,37,64,58,60,62,67,44,39,61,39
S. Mackie,21,173,69,61,400000,Left,SUB,40,56,52,64,31,50,64,54,36,61,79,53,65,68,69
K. Tobers,19,189,75,61,400000,Right,SUB,40,48,60,35,42,52,42,31,29,58,53,56,74,66,75
J. Jesgarzewski,26,180,75,63,400000,Right,SUB,40,58,58,55,40,50,46,43,45,61,70,58,65,71,65
G. Quagliata,20,180,70,60,425000,Left,SUB,40,49,56,55,35,48,58,48,38,61,76,49,60,57,48
B. Mendy,20,191,82,60,425000,Right,SUB,40,53,62,51,36,59,44,38,40,56,60,55,67,52,80
R. Fernández,19,188,82,61,425000,Left,SUB,40,50,60,59,42,70,55,33,32,58,52,55,72,51,71
L. Schoofs,23,186,66,63,425000,Right,SUB,40,54,61,35,36,56,53,42,33,63,52,57,63,69,57
J. Monaga,22,179,70,63,425000,Left,SUB,40,52,58,60,32,52,53,48,41,51,73,61,81,76,61
J. Maguire,24,179,70,63,425000,Left,SUB,40,54,59,60,35,54,58,54,54,56,76,61,60,66,62
Gu Cao,32,183,75,66,425000,Right,SUB,40,46,66,49,46,60,60,23,24,55,73,61,70,77,74
S. Acka,29,184,80,65,450000,Right,SUB,40,44,63,35,32,62,36,28,30,42,61,53,83,72,82
M. Ambrose,26,175,75,64,475000,Left,SUB,40,51,61,52,26,66,54,29,38,58,70,61,76,65,64
M. Egbo,22,180,74,63,500000,Right,SUB,40,57,55,65,41,44,65,42,38,62,68,57,75,68,63
J. Navas,26,180,71,64,500000,Right,SUB,40,49,63,57,28,50,63,35,39,49,66,59,61,72,62
D. Ayala,17,173,62,61,525000,Left,SUB,40,55,61,44,33,51,58,41,43,62,71,60,61,63,36
J. Walsh,28,180,70,65,525000,Left,SUB,40,53,64,59,39,66,46,36,33,54,69,53,77,72,71
L. Blanco,21,183,75,63,550000,Left,SUB,40,53,57,60,35,45,63,44,37,59,74,60,58,66,60
D. Erdmann,29,188,86,66,550000,Right,SUB,40,50,61,43,33,62,42,38,37,57,53,61,70,83,84
J. Baldwin,27,185,70,65,575000,Right,SUB,40,54,65,47,42,61,52,39,21,54,65,63,75,72,76
Javi Castellano,32,182,74,68,575000,Right,SUB,40,61,67,49,34,66,46,43,40,65,35,59,48,70,74
C. Dekuyper,20,180,68,63,600000,Right,SUB,40,57,62,42,37,58,59,45,41,63,65,50,63,59,64
L. Hernández,22,182,77,65,650000,Right,SUB,40,58,66,52,33,68,58,62,40,56,66,55,72,68,65
A. Erdem,31,174,66,68,650000,Left,SUB,40,64,66,64,34,53,70,51,36,69,66,67,73,61,50
D. Van den Buijs,24,188,74,65,675000,Left,SUB,40,62,66,70,35,66,40,68,62,63,62,57,68,66,71
P. Konate,26,175,72,66,700000,Left,SUB,40,59,62,64,35,45,63,53,42,58,71,56,74,74,61
C. Akas,26,188,90,66,700000,Left,SUB,40,52,62,64,34,49,62,43,38,64,68,65,56,76,82
D. Abels,23,179,77,66,750000,Right,SUB,40,51,64,64,38,65,56,48,20,64,62,66,63,69,68
C. Beltrán,29,187,77,68,750000,Right,SUB,40,54,70,39,42,72,52,33,28,60,43,55,62,63,82
F. Escobar,25,184,74,66,775000,Right,SUB,40,40,66,30,25,70,41,30,40,40,78,64,76,80,77
B. Mason,22,173,70,66,800000,Left,SUB,40,58,62,61,37,48,61,44,48,62,84,51,78,76,58
J. Timber,19,179,77,65,875000,Right,SUB,40,55,64,56,35,63,60,44,31,63,75,62,73,55,69
Eduardo Kau,21,190,85,64,925000,Left,SUB,40,48,65,39,31,65,50,49,56,54,49,53,48,34,83
Juan Cruz,27,180,79,69,925000,Left,SUB,40,58,65,67,34,61,58,59,31,64,72,64,69,74,71
G. Cotugno,25,177,75,68,1000000,Right,SUB,40,54,63,60,39,58,63,35,34,63,77,60,76,78,69
J. Bree,22,178,74,67,1100000,Right,SUB,40,60,64,66,38,59,60,40,38,64,68,66,62,69,67
A. Trusty,21,191,85,67,1100000,Left,SUB,40,47,66,36,29,65,41,46,29,49,77,63,76,74,80
R. Frosler,22,173,69,68,1100000,Right,SUB,40,61,65,70,34,48,68,51,48,68,70,61,64,67,51
Borja López,26,192,80,68,1100000,Left,SUB,40,50,69,34,32,63,39,37,25,58,45,59,64,63,81
F. Wadja,25,185,83,68,1100000,Right,SUB,40,61,66,58,31,65,55,55,39,61,69,63,73,90,86
A. Çalık,26,184,77,69,1100000,Right,SUB,40,53,69,40,42,70,55,44,39,60,68,68,81,73,69
T. Blackett,26,188,87,69,1100000,Left,SUB,40,66,67,72,24,64,65,74,65,65,69,62,51,69,84
C. Dima,20,185,76,66,1200000,Right,SUB,40,53,66,53,41,68,49,42,36,55,68,60,64,80,74
S. Doumbia,23,175,64,68,1200000,Left,SUB,40,59,60,65,33,56,68,58,35,65,91,58,67,72,59
C. Mola,19,183,78,66,1300000,Left,SUB,40,63,62,66,38,51,64,51,47,65,66,62,60,65,64
